,Company,TypeName,Inches,Memory,Gpu,OperatingSystem,Weight,Price,ScreenWidth,ScreenHeight,CpuManufacturer,CpuSpeed,CpuModel,PrimaryStorageAmount,PrimaryStorageType,SecondaryStorageAmount,SecondaryStorageType
180,Dell,Notebook,15.6,16,AMD Radeon 530,Linux,2.02,55890.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,2000.0,HDD
181,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.23,74538.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
182,Lenovo,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,Windows 10,1.4,98514.72,3840,2160,Intel,1.8,Core i7,512.0,SSD,0.0,None
183,Other,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.0,42251.04,1366,768,Intel,2.5,Core i5,128.0,SSD,0.0,None
184,Other,Notebook,15.6,8,Nvidia GeForce MX150,No OS,1.95,63882.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
185,Dell,Notebook,17.3,16,Other,Windows 10,2.77,82530.72,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
186,Dell,Notebook,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2.06,127712.16,3840,2160,Intel,2.8,Core i7,512.0,SSD,0.0,None
187,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,No OS,2.4,41505.12,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
188,Acer,Ultrabook,13.3,8,Other,Windows 10,1.12,52693.92,1920,1080,Intel,1.2,Core i5,256.0,SSD,0.0,None
189,Dell,Notebook,17.3,8,AMD Radeon 530,Windows 10,2.8,57808.8,1920,1080,Intel,1.8,Core i7,128.0,SSD,1000.0,HDD
190,Lenovo,2 in 1 Convertible,14.0,16,Intel HD Graphics 620,Windows 10,1.42,150462.72,2560,1440,Intel,2.7,Core i7,1000.0,SSD,0.0,None
191,Other,Notebook,14.0,4,Intel HD Graphics 500,Windows 10,1.3,13852.8,1920,1080,Intel,1.1,Celeron Dual,32.0,Flash Storage,0.0,None
192,Other,Ultrabook,13.3,8,Nvidia GeForce MX150,No OS,1.3,53274.67199999999,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
193,Lenovo,Notebook,17.3,8,Nvidia GeForce MX150,No OS,2.8,37189.44,1600,900,Intel,1.6,Core i5,256.0,SSD,0.0,None
194,Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.62,44701.92,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
195,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,48697.92,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
196,Other,Gaming,17.3,32,Other,Windows 10,3.49,324954.72,3840,2160,Intel,2.9,Core i7,1000.0,SSD,0.0,None
197,HP,Notebook,13.3,8,Intel UHD Graphics 620,Windows 10,1.49,51095.52,1920,1080,Intel,1.6,Core i5,512.0,SSD,0.0,None
198,HP,Gaming,17.3,16,Nvidia GeForce GTX 1050,Windows 10,3.35,73473.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
199,HP,Notebook,17.3,8,Other,Windows 10,2.5,55677.6,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
200,Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.65,98301.6,3840,2160,Intel,2.8,Core i7,512.0,SSD,1000.0,HDD
201,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.1,26267.04,1366,768,Intel,2.3,Core i5,128.0,SSD,0.0,None
202,Acer,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2.23,39533.76,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
203,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,3.2,93186.72,1920,1080,Intel,2.8,Core i7,512.0,SSD,1000.0,HDD
204,Dell,Other,15.6,16,Other,Windows 10,2.8,162770.4,3840,2160,Intel,3,Other,256.0,SSD,1000.0,HDD
205,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,No OS,2.4,74485.44,1920,1080,Intel,2.8,Core i7,512.0,SSD,0.0,None
206,Dell,Notebook,15.6,6,Intel HD Graphics 620,Windows 10,2.3,23389.92,1366,768,Intel,2.4,Core i3,1000.0,HDD,0.0,None
207,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.21,103842.72,3840,2160,Intel,1.8,Core i7,256.0,SSD,0.0,None
208,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.2,77202.72,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
209,Lenovo,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.2,31808.16,1366,768,Intel,2.5,Core i5,256.0,SSD,0.0,None
210,Acer,Notebook,15.6,8,Nvidia GeForce GTX 1050,Linux,2.4,41505.12,1920,1080,Intel,2.8,Core i7,1000.0,HDD,0.0,None
211,Asus,Gaming,17.3,16,Nvidia GeForce GTX 1050,Windows 10,2.9,74964.95999999999,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
212,HP,Notebook,15.6,4,Intel HD Graphics 520,No OS,2.1,18594.72,1920,1080,Intel,2,Core i3,500.0,HDD,0.0,None
213,Lenovo,Notebook,15.6,8,Intel HD Graphics 620,No OS,2.2,29250.72,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
214,Other,Ultrabook,13.0,8,Intel HD Graphics 620,Windows 10,1.05,79866.72,2160,1440,Intel,2.7,Core i7,512.0,SSD,0.0,None
215,Dell,Ultrabook,13.3,8,AMD Radeon 530,Windows 10,1.4,49650.5664,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
216,Lenovo,Notebook,17.3,8,Other,No OS,2.8,31381.92,1600,900,Intel,2.5,Core i5,1000.0,HDD,0.0,None
217,HP,Notebook,14.0,8,Nvidia GeForce 930MX,Windows 10,1.63,54931.68,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
218,Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.6,61218.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
219,Dell,2 in 1 Convertible,13.3,16,Intel UHD Graphics 620,Windows 10,1.62,68145.12,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
220,Dell,Notebook,15.6,8,AMD Radeon 520,Linux,2.2,36089.208,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
221,Lenovo,2 in 1 Convertible,14.0,8,Intel UHD Graphics 620,Windows 10,1.74,47898.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
222,Other,Ultrabook,13.3,8,Intel HD Graphics 520,Windows 10,1.2,72620.64,1920,1080,Intel,2.5,Core i7,256.0,SSD,0.0,None
223,HP,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.1,42304.32,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
224,Dell,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows 10,4.42,130873.7952,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
225,Acer,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2.2,44328.96,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
226,Dell,Notebook,15.6,16,Other,Windows 10,2.3,45768.0528,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
227,Asus,Notebook,15.6,8,Other,Windows 10,2,40972.32,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
228,Asus,Notebook,17.3,8,Other,Windows 10,2.69,47472.48,1920,1080,Intel,2.5,Core i5,256.0,SSD,500.0,HDD
229,HP,Notebook,15.6,8,Other,Windows 10,1.9,67612.31999999999,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
230,Asus,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.37,21258.1872,1366,768,Intel,2.4,Core i3,1000.0,HDD,0.0,None
231,HP,Notebook,15.6,4,Other,Windows 10,2.1,17582.399999999998,1366,768,AMD,1.5,Other,500.0,HDD,0.0,None
232,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows 10,3.2,79866.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
233,Dell,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.6,45767.52,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
234,Acer,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,Windows 10,1.6,36709.92,1920,1080,Intel,2.3,Core i5,256.0,SSD,0.0,None
235,Dell,Notebook,15.6,16,Other,Linux,2.36,47898.72,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
236,Acer,Notebook,15.6,4,Intel HD Graphics 520,Linux,2.1,20779.2,1366,768,Intel,2,Core i3,1000.0,HDD,0.0,None
237,Asus,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.2,30636.0,1920,1080,AMD,2.5,Other,128.0,SSD,1000.0,HDD
238,Asus,Gaming,17.3,32,Other,Windows 10,4.7,207259.2,1920,1080,Intel,2.9,Core i7,512.0,SSD,1000.0,HDD
239,Acer,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,45074.88,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
240,Lenovo,Notebook,15.6,8,Intel HD Graphics 520,Windows 10,2.2,31381.92,1366,768,Intel,2,Core i3,128.0,SSD,0.0,None
241,Asus,Notebook,17.3,8,Other,Windows 10,2.1,61005.6,1920,1080,Intel,1.8,Core i7,128.0,SSD,1000.0,HDD
242,Asus,Notebook,17.3,8,Other,No OS,2.69,47365.92,1920,1080,Intel,2.7,Core i7,128.0,SSD,1000.0,HDD
243,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.56,46833.12,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
244,Lenovo,2 in 1 Convertible,13.9,8,Intel HD Graphics 620,Windows 10,1.38,57489.12,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
245,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.2,52480.8,1920,1080,Intel,1.8,Core i7,128.0,SSD,2000.0,HDD
246,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.04,29783.52,1366,768,Intel,2.5,Core i5,1000.0,HDD,0.0,None
247,Asus,Gaming,17.3,16,Other,Windows 10,3.6,159786.72,1920,1080,Intel,2.9,Core i7,256.0,SSD,0.0,None
248,HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows 10,1.49,35964.0,1920,1080,Intel,1.6,Core i5,500.0,HDD,0.0,None
249,Other,Ultrabook,13.3,8,Other,macOS,1.37,108691.2,2560,1600,Intel,3.1,Core i5,512.0,SSD,0.0,None
250,Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows 10,2.08,43636.32,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
251,Asus,Gaming,17.3,16,Other,Windows 10,4.3,95850.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
252,Asus,Notebook,15.6,4,Other,Windows 10,1.68,24988.32,1366,768,AMD,3,A9-Series 9420,1000.0,HDD,0.0,None
253,Lenovo,2 in 1 Convertible,13.9,8,Intel UHD Graphics 620,Windows 10,1.37,98514.72,1920,1080,Intel,1.8,Core i7,512.0,SSD,0.0,None
254,Acer,Notebook,17.3,4,Other,Windows 10,3,37402.56,1920,1080,Intel,2.7,Core i3,256.0,SSD,0.0,None
255,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.41,50562.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
256,HP,Notebook,15.6,8,Other,Windows 10,1.91,23757.552,1366,768,AMD,2.5,Other,128.0,SSD,0.0,None
257,HP,Notebook,17.3,16,Nvidia GeForce MX150,Windows 10,2.9,56423.52,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
258,Other,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows 10,4.14,133146.72,1920,1080,Intel,2.8,Core i7,512.0,SSD,1000.0,HDD
259,Lenovo,2 in 1 Convertible,15.6,8,Other,Windows 10,2,90522.72,1920,1080,Intel,2.8,Core i7,512.0,SSD,0.0,None
260,Dell,Notebook,17.3,8,AMD Radeon 530,Windows 10,2.8,60845.76,1920,1080,Intel,1.8,Core i7,128.0,SSD,1000.0,HDD
261,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,No OS,2.2,23656.32,1920,1080,Intel,2,Core i3,256.0,SSD,0.0,None
262,HP,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.1,38468.16,1920,1080,Intel,1.6,Core i5,500.0,HDD,0.0,None
263,Dell,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,2.18,35004.96,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
264,Dell,Notebook,15.6,8,AMD Radeon R5 M430,Windows 10,2.24,30103.2,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
265,Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows 10,2.67,42570.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
266,Asus,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.1,79866.72,1920,1080,Intel,1.8,Core i7,512.0,SSD,512.0,SSD
267,Lenovo,Notebook,15.6,4,Intel HD Graphics 620,No OS,2.2,24881.76,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
268,HP,Notebook,17.3,8,Other,Windows 10,2.5,54239.04,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
269,Lenovo,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.05,46886.4,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
270,Other,Ultrabook,13.3,8,Other,macOS,1.37,104370.192,2560,1600,Intel,2.9,Core i5,512.0,SSD,0.0,None
271,Asus,Gaming,17.3,16,Other,Windows 10,3.2,82530.72,1920,1080,AMD,3,Other,256.0,SSD,1000.0,HDD
272,Dell,Notebook,15.6,8,AMD Radeon 520,Linux,2.14,39164.5296,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
273,Lenovo,2 in 1 Convertible,14.0,16,Intel HD Graphics 520,Windows 10,1.36,133146.72,2560,1440,Intel,2.6,Core i7,512.0,SSD,0.0,None
274,Other,Notebook,15.6,8,Other,Windows 10,2.2,43263.36,1366,768,Intel,2.5,Core i7,500.0,HDD,0.0,None
275,Dell,Notebook,15.6,12,Intel HD Graphics 620,Windows 10,2.3,37992.3696,1366,768,Intel,2.7,Core i7,1000.0,HDD,0.0,None
276,Dell,Notebook,17.3,8,AMD Radeon 530,Linux,2.8,58554.72,1920,1080,Intel,1.8,Core i7,128.0,SSD,1000.0,HDD
277,Acer,Notebook,15.6,8,Other,Windows 10,2.2,39693.6,1920,1080,Intel,1.8,Core i7,1000.0,HDD,0.0,None
278,Lenovo,Notebook,17.3,4,Intel HD Graphics 520,Windows 10,2.8,26053.92,1600,900,Intel,2,Core i3,1000.0,HDD,0.0,None
279,Lenovo,Notebook,17.3,8,Nvidia GeForce MX150,No OS,2.8,45234.72,1920,1080,Intel,1.8,Core i7,2000.0,HDD,0.0,None
280,Lenovo,Notebook,17.3,6,Nvidia GeForce 940MX,Windows 10,2.8,45767.52,1600,900,Intel,2.7,Core i7,128.0,SSD,1000.0,HDD
281,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Linux,2.25,22803.84,1920,1080,Intel,2.0,Core i3,1000.0,HDD,0.0,None
282,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,44169.12,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
283,Lenovo,Notebook,15.6,6,Intel HD Graphics 620,Windows 10,2.2,30849.12,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
284,Acer,Notebook,15.6,8,Nvidia GeForce MX150,Windows 10,3,50669.28,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
285,Acer,Notebook,15.6,12,Intel HD Graphics 620,Windows 10,2.15,35111.52,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
286,Lenovo,Notebook,15.6,8,Other,Windows 10,1.95,58448.16,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
287,Asus,Ultrabook,15.6,8,Nvidia GeForce 940MX,Windows 10,1.7,52054.56,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
288,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,62817.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
289,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,35112.0528,1920,1080,Intel,2.7,Core i7,1000.0,HDD,0.0,None
290,Acer,Notebook,15.6,2,Intel HD Graphics,Chrome OS,2.19,10602.72,1366,768,Intel,1.5,Celeron Dual,16.0,SSD,0.0,None
291,Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows 10,3,63243.36,1920,1080,Intel,2.8,Core i7,1000.0,HDD,0.0,None
292,HP,Notebook,17.3,8,Intel HD Graphics 520,Windows 10,2.54,26053.92,1600,900,Intel,2,Core i3,1000.0,HDD,0.0,None
293,Dell,Notebook,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2,97449.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
294,Lenovo,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.05,39373.92,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
295,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1060,Windows 10,3.2,69210.72,1920,1080,Intel,2.8,Core i7,1000.0,HDD,0.0,None
296,Acer,Notebook,15.6,8,Nvidia GeForce GTX 1050 Ti,Linux,2.5,52161.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
297,Dell,Other,17.3,16,Other,Windows 10,3.42,153705.3408,1920,1080,Intel,2.9,Core i7,256.0,SSD,0.0,None
298,Lenovo,Notebook,15.6,6,Other,Windows 10,2.4,26586.72,1920,1080,AMD,2.4,Other,1000.0,HDD,0.0,None
299,Asus,Ultrabook,15.6,16,Nvidia GeForce 940MX,Windows 10,1.63,78215.04,1920,1080,Intel,2.7,Core i7,512.0,SSD,0.0,None
300,Asus,Notebook,14.0,4,Intel HD Graphics 620,Windows 10,1.3,27119.52,1366,768,Intel,2.4,Core i3,128.0,SSD,0.0,None
301,Asus,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2.9,113060.16,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
302,Lenovo,Notebook,17.3,6,Other,Windows 10,2.8,34578.72,1600,900,Intel,2.5,Core i5,1000.0,HDD,0.0,None
303,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,29250.72,1366,768,Intel,2.5,Core i5,2000.0,HDD,0.0,None
304,Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,67399.2,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
305,Lenovo,Notebook,15.6,4,Other,No OS,2.2,19180.2672,1366,768,Intel,1.1,Pentium Quad,1000.0,HDD,0.0,None
306,HP,2 in 1 Convertible,13.3,16,Intel HD Graphics 620,Windows 10,1.28,105228.0,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
307,Other,Notebook,15.6,8,Other,Windows 10,2.2,55571.04,1920,1080,Intel,2.5,Core i7,256.0,SSD,0.0,None
308,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2.3,43636.32,1920,1080,Intel,2.5,Core i5,128.0,SSD,1000.0,HDD
309,HP,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.86,24988.32,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
310,Lenovo,Notebook,13.3,8,Intel HD Graphics 620,Windows 10,1.1,53226.72,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
311,Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows 10,1.21,133146.72,3840,2160,Intel,1.8,Core i7,1000.0,SSD,0.0,None
312,Other,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows 10,2.8,111834.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
313,Acer,Notebook,15.6,8,Other,Windows 10,2.23,24988.32,1920,1080,AMD,2.2,Other,256.0,SSD,0.0,None
314,Asus,2 in 1 Convertible,11.6,2,Intel HD Graphics 500,Windows 10,1.1,14652.0,1366,768,Intel,1.1,Celeron Dual,32.0,Flash Storage,0.0,None
315,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.33,44968.32,1920,1080,Intel,1.6,Core i5,128.0,SSD,1000.0,HDD
316,HP,2 in 1 Convertible,13.3,16,Intel UHD Graphics 620,Windows 10,1.29,130482.72,3840,2160,Intel,1.8,Core i7,1000.0,SSD,0.0,None
317,Lenovo,Notebook,13.3,4,Other,Chrome OS,1.45,24503.472,1366,768,Intel,1.6,Celeron Dual,16.0,Flash Storage,0.0,None
318,HP,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.95,52214.4,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
319,Acer,Notebook,11.6,4,Other,Windows 10,1.4,25840.8,1366,768,Intel,1.6,Pentium Quad,128.0,Flash Storage,0.0,None
320,HP,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.48,68837.76,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
321,Lenovo,Notebook,17.3,4,Other,Windows 10,2.79,31381.92,1600,900,Intel,2.5,Core i5,1000.0,HDD,0.0,None
322,Asus,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,2,58288.32,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
323,HP,Notebook,15.6,8,Intel UHD Graphics 620,Windows 10,2.1,48058.56,1366,768,Intel,1.8,Core i7,1000.0,HDD,0.0,None
324,Acer,Notebook,15.6,8,Other,Windows 10,2.2,35111.52,1366,768,AMD,2.7,Other,256.0,SSD,0.0,None
325,Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows 10,1.44,15557.76,1366,768,Intel,1.1,Celeron Dual,32.0,Flash Storage,0.0,None
326,Acer,Notebook,15.6,6,Intel HD Graphics 620,Windows 10,2.23,29250.72,1366,768,Intel,2.5,Core i5,1000.0,HDD,0.0,None
327,Asus,Ultrabook,15.6,8,Nvidia GeForce 940MX,Windows 10,1.7,55938.672,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
328,HP,Ultrabook,12.5,8,Intel HD Graphics 620,Windows 10,1.26,71128.8,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
329,Dell,Notebook,15.6,32,Nvidia GeForce GTX 1050,Windows 10,2.06,140605.91999999998,3840,2160,Intel,2.8,Core i7,1000.0,SSD,0.0,None
330,Other,Gaming,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,63882.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,1000.0,HDD
331,Other,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.0,50243.04,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
332,Asus,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,2,71075.52,1920,1080,Intel,2.7,Core i7,256.0,SSD,1000.0,HDD
333,Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,1.85,23922.72,1920,1080,Intel,2,Core i3,1000.0,HDD,0.0,None
334,Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
335,HP,Notebook,14.0,8,Intel HD Graphics 620,Windows 10,1.48,67559.04,1920,1080,Intel,2.6,Core i5,256.0,SSD,0.0,None
336,Dell,Ultrabook,15.6,8,Nvidia GeForce 940MX,Windows 10,1.9,55890.72,1920,1080,Intel,1.6,Core i5,128.0,SSD,1000.0,HDD
337,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.84,60952.32,1920,1080,Intel,2.5,Core i5,256.0,SSD,0.0,None
338,Asus,Notebook,15.6,4,Intel HD Graphics 500,Linux,2,14651.4672,1366,768,Intel,1.1,Celeron Dual,1000.0,HDD,0.0,None
339,Dell,Notebook,15.6,8,Nvidia GeForce 940MX,Windows 10,2,60885.72,1920,1080,Intel,1.6,Core i5,256.0,SSD,0.0,None
340,Dell,Notebook,15.6,4,Intel HD Graphics,Linux,2.2,14646.672,1366,768,Intel,1.6,Celeron Dual,500.0,HDD,0.0,None
341,Lenovo,Notebook,15.6,12,AMD Radeon 530,Windows 10,2.2,47898.72,1920,1080,AMD,3.6,Other,2000.0,HDD,0.0,None
342,HP,Notebook,15.6,8,Other,Windows 10,2.1,38148.48,1920,1080,Intel,2.4,Core i3,1000.0,HDD,0.0,None
343,Lenovo,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,Windows 10,1.4,111834.72,3840,2160,Intel,1.8,Core i7,512.0,SSD,0.0,None
344,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.2,84129.12,1920,1080,Intel,1.8,Core i7,256.0,SSD,0.0,None
345,Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,60153.12,1920,1080,Intel,2.8,Core i7,256.0,SSD,2000.0,HDD
346,HP,Notebook,14.0,2,Intel HD Graphics 400,Windows 10,1.44,14865.12,1366,768,Intel,1.6,Celeron Dual,32.0,Flash Storage,0.0,None
347,Dell,Ultrabook,15.6,16,Intel UHD Graphics 620,Windows 10,1.88,85672.1088,1920,1080,Intel,1.9,Core i7,512.0,SSD,256.0,SSD
348,Asus,2 in 1 Convertible,11.6,4,Intel HD Graphics 500,Windows 10,1.5,19980.0,1366,768,Intel,1.1,Celeron Dual,32.0,Flash Storage,0.0,None
349,Dell,Ultrabook,15.6,8,AMD Radeon 530,Windows 10,1.9,35324.64,1920,1080,Intel,1.6,Core i5,1000.0,HDD,0.0,None
350,Dell,Notebook,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2.06,108020.9376,3840,2160,Intel,2.8,Core i7,512.0,SSD,0.0,None
351,HP,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,1.84,69477.12,1920,1080,Intel,2.7,Core i7,256.0,SSD,0.0,None
352,Other,Gaming,17.3,8,Nvidia GeForce GTX 1060,Windows 10,2.7,75071.52,1920,1080,Intel,2.8,Core i7,128.0,SSD,1000.0,HDD
353,HP,Other,15.6,8,Other,Windows 10,2.6,92615.0256,1920,1080,Intel,2.8,Core i7,256.0,SSD,0.0,None
354,Other,Notebook,15.6,16,Other,Windows 10,2.4,74751.84,1920,1080,Intel,2.5,Core i7,512.0,SSD,0.0,None
355,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.02,51729.55199999999,1920,1080,Intel,1.8,Core i7,128.0,SSD,2000.0,HDD
356,Lenovo,Notebook,15.6,4,Intel HD Graphics 500,No OS,2.2,17155.627200000003,1366,768,Intel,1.1,Celeron Dual,1000.0,HDD,0.0,None
357,Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.65,53226.72,1920,1080,Intel,2.5,Core i5,1000.0,HDD,0.0,None
358,Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows 10,2.36,29696.6736,1366,768,Intel,2.5,Core i5,2000.0,HDD,0.0,None
